Sales date,Location,"# Txns",Payments,Refunds,Fees,Withholdings,Settled date(s),External,Payouts
07/26/2025,Biryani City,53,3073.9,0.0,98.52,0.0,[07/28/2025],0.0,2975.38
07/27/2025,Biryani City,39,1632.41,0.0,46.06,12.99,[07/29/2025],0.0,1573.36
07/28/2025,Biryani City,22,892.14,0.0,29.24,0.0,[07/30/2025],0.0,862.9
07/29/2025,Biryani City,34,1077.16,0.0,34.47,0.0,[07/31/2025],0.0,1042.69
07/30/2025,Biryani City,29,990.8,0.0,31.82,6.99,[08/01/2025],0.0,951.99
07/31/2025,Biryani City,27,1035.85,0.0,29.85,12.39,[08/02/2025],0.0,993.61
08/01/2025,Biryani City,52,1817.34,0.0,54.52,0.0,[08/03/2025],0.0,1762.82
08/02/2025,Biryani City,49,1683.81,0.0,52.76,6.99,[08/04/2025],0.0,1624.06
08/03/2025,Biryani City,34,1335.76,0.0,45.55,0.0,[08/05/2025],0.0,1290.21
08/04/2025,Biryani City,20,769.8,0.0,26.42,33.77,[08/06/2025],0.0,709.61
08/05/2025,Biryani City,45,1516.13,0.0,51.02,0.0,[08/07/2025],0.0,1465.11
08/06/2025,Biryani City,31,1374.22,0.0,41.55,0.0,[08/08/2025],0.0,1332.67
08/07/2025,Biryani City,38,1395.57,0.0,40.76,0.0,[08/09/2025],0.0,1354.81
08/08/2025,Biryani City,44,1466.44,0.0,49.68,0.0,[08/10/2025],0.0,1416.76
08/09/2025,Biryani City,45,2129.73,0.0,60.92,0.0,[08/11/2025],0.0,2068.81
08/10/2025,Biryani City,35,1690.13,0.0,52.31,28.47,[08/12/2025],0.0,1609.35
08/11/2025,Biryani City,21,818.07,0.0,27.24,0.0,[08/13/2025],0.0,790.83
08/12/2025,Biryani City,32,1529.48,0.0,47.46,0.0,[08/14/2025],0.0,1482.02
08/13/2025,Biryani City,36,1267.57,0.0,37.32,0.0,[08/15/2025],0.0,1230.25
08/14/2025,Biryani City,32,1589.24,0.0,51.66,0.0,[08/16/2025],0.0,1537.58
08/15/2025,Biryani City,48,1948.96,0.0,60.77,0.0,[08/17/2025],0.0,1888.19
08/16/2025,Biryani City,50,2644.42,0.0,84.53,19.33,[08/18/2025],0.0,2540.56
08/17/2025,Biryani City,63,2869.95,0.0,91.25,13.43,[08/19/2025],0.0,2765.27
08/18/2025,Biryani City,25,905.58,0.0,29.8,11.99,[08/20/2025],0.0,863.79
08/19/2025,Biryani City,40,1139.71,0.0,36.14,11.99,[08/21/2025],0.0,1091.58
08/20/2025,Biryani City,35,1217.98,0.0,39.25,0.0,[08/22/2025],0.0,1178.73
08/21/2025,Biryani City,28,980.49,0.0,31.61,0.0,[08/23/2025],0.0,948.88
08/22/2025,Biryani City,55,2471.57,0.0,71.75,8.99,[08/24/2025],0.0,2390.83
08/23/2025,Biryani City,53,2063.41,0.0,63.32,0.0,[08/25/2025],0.0,2000.09
08/24/2025,Biryani City,42,2010.69,0.0,64.19,0.0,[08/26/2025],0.0,1946.5
08/25/2025,Biryani City,28,1035.31,0.0,30.79,0.0,[08/27/2025],0.0,1004.52
08/26/2025,Biryani City,33,1110.12,0.0,39.61,0.0,[08/28/2025],0.0,1070.51
08/27/2025,Biryani City,22,989.95,0.0,28.3,0.0,[08/29/2025],0.0,961.65
08/28/2025,Biryani City,34,1591.19,0.0,50.79,0.0,[08/30/2025],0.0,1540.4
08/29/2025,Biryani City,52,2523.51,0.0,82.71,0.0,[08/31/2025],0.0,2440.8
08/30/2025,Biryani City,45,2700.94,0.0,87.0,0.0,[09/01/2025],0.0,2613.94
08/31/2025,Biryani City,52,2431.83,0.0,77.69,0.0,[09/02/2025],0.0,2354.14
09/01/2025,Biryani City,37,1858.54,0.0,58.23,0.0,[09/03/2025],0.0,1800.31
09/02/2025,Biryani City,33,1156.84,0.0,40.28,12.86,[09/04/2025],0.0,1103.7
09/03/2025,Biryani City,24,990.68,0.0,25.88,8.99,[09/05/2025],0.0,955.81
09/04/2025,Biryani City,31,913.6,0.0,30.16,14.25,[09/06/2025],0.0,869.19
09/05/2025,Biryani City,51,1850.99,0.0,58.31,14.19,[09/07/2025],0.0,1778.49
09/06/2025,Biryani City,42,1342.24,0.0,42.03,0.0,[09/08/2025],0.0,1300.21
09/07/2025,Biryani City,37,1497.75,0.0,45.0,0.0,[09/09/2025],0.0,1452.75
09/08/2025,Biryani City,8,232.1,0.0,7.1,0.0,[09/10/2025],0.0,225.0
09/09/2025,Biryani City,27,969.29,0.0,32.86,15.22,[09/11/2025],0.0,921.21
09/10/2025,Biryani City,23,708.36,0.0,22.1,0.0,[09/12/2025],0.0,686.26
09/11/2025,Biryani City,29,838.6,0.0,24.36,0.0,[09/13/2025],0.0,814.24
09/12/2025,Biryani City,43,2047.92,0.0,62.51,11.49,[09/14/2025],0.0,1973.92
09/13/2025,Biryani City,40,2018.42,0.0,62.42,0.0,[09/15/2025],0.0,1956.0
09/14/2025,Biryani City,40,1448.25,0.0,45.03,0.0,[09/16/2025],0.0,1403.22
09/15/2025,Biryani City,18,716.91,0.0,23.45,0.0,[09/17/2025],0.0,693.46
09/16/2025,Biryani City,33,1641.48,0.0,56.05,0.0,[09/18/2025],0.0,1585.43
09/17/2025,Biryani City,41,1325.54,0.0,40.95,0.0,[09/19/2025],0.0,1284.59
09/18/2025,Biryani City,23,868.91,0.0,25.67,0.0,[09/20/2025],0.0,843.24
09/19/2025,Biryani City,58,2143.28,0.0,63.63,0.0,[09/21/2025],0.0,2079.65
09/20/2025,Biryani City,45,2503.15,0.0,75.53,20.63,[09/22/2025],0.0,2406.99
09/21/2025,Biryani City,53,2408.23,0.0,84.84,0.0,[09/23/2025],0.0,2323.39
09/22/2025,Biryani City,28,1170.33,0.0,38.8,0.0,[09/24/2025],0.0,1131.53
09/23/2025,Biryani City,24,998.92,0.0,32.48,0.0,[09/25/2025],0.0,966.44
09/24/2025,Biryani City,34,3093.5,0.0,95.72,0.0,[09/26/2025],0.0,2997.78
09/25/2025,Biryani City,32,1108.29,0.0,34.77,0.0,[09/27/2025],0.0,1073.52
09/26/2025,Biryani City,45,1802.92,0.0,53.96,0.0,[09/28/2025],0.0,1748.96
09/27/2025,Biryani City,46,1903.6,0.0,58.18,17.23,[09/29/2025],0.0,1828.19
09/28/2025,Biryani City,43,2385.0,40.45,69.53,0.0,[09/30/2025],0.0,2275.02
09/29/2025,Biryani City,22,624.02,0.0,22.36,0.0,[10/01/2025],0.0,601.66
09/30/2025,Biryani City,30,1165.74,0.0,36.19,0.0,[10/02/2025],0.0,1129.55
